Manufacturer;Model;Size;LCD Type;Resolution;Range;Interface;LFC;Freesync 2;HDR
Asus;VP28UQG;28";TN;3840x2160;40-60 via DisplayPort 40-60 via HDMI;DisplayPort™, HDMI®;No;No;No
Asus;VZ27VQ;27";VA;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Asus;XG248Q;24";TN;1920x1080;48-240 via DisplayPort 48-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Asus;XG258/XG258Q;25";TN;1920x1080;48-240 via DisplayPort 48-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Asus;XG258Q;25";TN;1920x1080;48-240 via DisplayPort 48-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Asus;XG27VQ;27";VA;1920x1080;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Asus;XG32V/XG32VQ;32";VA;2560x1440;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Asus;XG32VQ;32";VA;2560x1440;48-144 via DisplayPort;DisplayPort™;Yes;No;No
Asus;XG35V/XG35VQ;35";VA;3440x1440;48-100 via DisplayPort;DisplayPort™;Yes;No;No
Asus;XG35VQ;35";VA;3440x1440;48-100 via DisplayPort;DisplayPort™;Yes;No;No
BBY;NS-PMG248;24";TN;1920x1080;48-144 via DisplayPort;DisplayPort™;Yes;No;No
BBY;NS-PMG278;27";TN;2560x1440;40-144 via DisplayPort;DisplayPort™;Yes;No;No
BenQ;EL2870U;28";TN;3840x2160;40-60 via DisplayPort 40-60 via HDMI;DisplayPort™, HDMI®;No;No;Yes
BenQ;EW3270U;32";VA;3840x2160;40-60 via DisplayPort 40-60 via HDMI;DisplayPort™, HDMI®;No;No;No
BenQ;EX3200R;32";VA;1920x1080;48-144 via DisplayPort 48-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
BenQ;EX3203R (FS2);32";VA;2560x1440;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;Yes;No
BenQ;EX3501R;35";VA;3440x1440;48-100 via DisplayPort 48-100 via HDMI;DisplayPort™, HDMI®;Yes;No;Yes
BenQ;PD2700U;27";IPS;3840x2160;40-60 via DisplayPort 40-60 via HDMI;DisplayPort™, HDMI®;No;No;Yes
BenQ;XL2540;25";TN;1920x1080;48-240 via DisplayPort 48-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
BenQ;XL2730Z;27";TN;2560x1440;40-144 via DisplayPort 40-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
BenQ;XL2740;27";TN;1920x1080;48-240 via DisplayPort 48-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
CrossOver;27FAST144;27";VA;2560x1440;48-144 via DisplayPort;DisplayPort™;Yes;No;No
Dell;AW2518HF;25";TN;1920x1080;48-240 via DisplayPort 48-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Dell;D2719HGF;27";TN;1920x1080;40-144 via DisplayPort 40-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Dell;S2418HN;24";IPS;1920x1080;48-75 via DisplayPort 75-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Dell;S2419HM;24";NA;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Dell;S2718H;27";IPS;1920x1080;48-75 via DisplayPort 75-75 via HDMI;DisplayPort™, HDMI®;No;No;No
